origin_date,actual,reg_tb_forecast,reg_tb_error
2022-01-14,15.1005,15.372030394254294,-0.2715303942542935
2022-01-21,14.9354,15.269384554266413,-0.33398455426641327
2022-01-28,15.326,15.486860068099269,-0.160860068099268
2022-02-04,15.2827,15.237192823712407,0.045507176287593154
2022-02-11,15.0824,15.165540489717038,-0.08314048971703869
2022-02-18,14.9391,14.947258120441015,-0.00815812044101527
2022-02-25,14.543,15.346175996334987,-0.8031759963349874
2022-03-04,14.581,15.370137177343281,-0.7891371773432816
2022-03-11,14.7138,15.113819857403033,-0.4000198574030325
2022-03-18,14.6483,14.888698199116387,-0.24039819911638638
2022-03-25,15.4949,14.549318697099144,0.9455813029008553
2022-04-01,15.8889,14.55100765802315,1.3378923419768487
2022-04-08,16.0525,14.726844090746155,1.3256559092538431
2022-04-15,16.0337,14.696684318825827,1.3370156811741722
2022-04-22,15.8428,15.517745885926157,0.32505411407384344
2022-04-29,15.6402,15.931657474144794,-0.29145747414479395
2022-05-06,15.4117,16.044878367782207,-0.6331783677822074
2022-05-13,15.4804,16.033259792158447,-0.552859792158447
2022-05-20,15.9196,15.860348931847824,0.059251068152176956
2022-05-27,15.9334,15.63291969380162,0.30048030619838073
2022-06-03,16.3482,15.485901126845796,0.8622988731542023
2022-06-10,16.8419,15.558841971220069,1.28305802877993
2022-06-17,17.2362,15.953808515389309,1.2823914846106916
2022-06-24,17.016,15.903893482227202,1.112106517772796
2022-07-01,16.5087,16.367317062194882,0.141382937805119
2022-07-08,16.5781,16.83745494891239,-0.2593549489123923
2022-07-15,16.1698,17.256232388532755,-1.0864323885327565
2022-07-22,16.8918,16.979699294674845,-0.0878992946748447
2022-07-29,16.8291,16.50474528400501,0.3243547159949891
2022-08-05,17.3139,16.585073756260247,0.7288262437397535
2022-08-12,17.284,16.164439841720046,1.1195601582799526
2022-08-19,17.655,16.9400268233729,0.714973176627101
2022-08-26,17.7755,16.919665474352865,0.8558345256471362
2022-09-02,17.8937,17.338908454513497,0.554791545486502
2022-09-09,17.9767,17.293202928719197,0.6834970712808044
2022-09-16,18.1708,17.709891671142913,0.4609083288570872
2022-09-23,18.3618,17.902406604394262,0.459393395605737
2022-09-30,18.1019,17.979869774658567,0.12203022534143315
2022-10-07,18.2961,18.063282311173957,0.23281768882604226
2022-10-14,17.2798,18.229098782939715,-0.9492987829397137
2022-10-21,17.389,18.41032824135456,-1.02132824135456
